"","default","month","age","amount","address","employer","children","payfreq","marstat","home"
"116",0,20,21,1000,13.8,5.5,0,1,1,2
"117",0,23,46,1500,6,10.6,0,1,2,2
"118",0,24,45,3000,17.6,10.1,2,1,2,1
"119",0,24,29,3750,1,1.1,0,3,1,1
"120",0,22,34,3000,3.3,6.3,0,3,2,1
"121",0,23,51,3500,3.2,0.8,0,3,2,1
"122",0,21,29,NA,0.9,0.3,0,3,2,1
"123",0,22,38,1300,13.3,15.7,0,3,2,1
"124",0,24,58,4000,30.6,4.1,0,1,3,1
"125",0,24,38,4000,0.1,NA,1,3,3,1
"126",1,20,27,1350,0.6,3.6,1,3,2,1
"127",1,19,26,1500,1.7,10.8,1,3,1,1
"128",0,20,29,4000,4.8,7.3,0,3,1,2
"129",0,19,28,3500,8,NA,0,3,1,2
"130",0,24,22,1500,3.2,1.2,0,3,1,2
"131",0,23,35,2000,4.3,4.4,2,3,2,1
"132",1,18,25,2000,4.5,0.4,2,3,1,2
"133",0,10,27,1200,4.1,3.1,1,3,2,1
"134",0,24,35,2000,12.2,17.5,2,1,2,1
"135",0,24,34,1000,7.1,4.7,1,1,2,2
"136",1,9,23,750,12,0.6,0,1,1,2
"137",0,23,37,1000,16.3,12.4,3,1,2,2
"138",0,23,34,1800,4.5,5.5,1,1,1,1
"139",0,21,28,3000,5.4,14.4,1,3,2,2
"140",0,23,36,800,11.3,1.5,3,3,2,1
"141",0,24,30,600,3.9,6.8,0,3,1,1
"142",0,24,34,1000,1,18.1,2,3,3,1
"143",1,6,26,5000,2,0.5,0,3,2,1
"144",0,24,44,2000,5.6,27.3,1,3,2,1
"145",0,18,24,NA,0.3,1.9,0,3,1,1
"146",0,24,28,1700,27.1,2.5,0,3,1,2
"147",1,10,32,1600,1.7,4.1,0,3,1,2
"148",0,23,37,2500,10.5,20.2,0,3,1,2
"149",0,24,63,5000,10.8,21.3,0,3,2,1
"150",0,24,30,600,20.2,3,0,1,1,2
"151",0,20,39,1000,10,14,2,3,2,1
"152",0,22,54,2500,1.1,6.1,0,3,3,2
"153",0,7,26,NA,0.1,0.1,0,1,1,2
"154",0,24,38,1000,4.7,4.9,4,3,3,2
"155",0,24,32,2000,5.1,14.9,0,3,2,1
"156",0,23,47,2500,11.2,5,1,1,2,2
"157",0,24,46,3200,17.6,29.3,2,3,2,1
"158",0,20,29,2500,5.4,2.1,0,1,2,1
"159",0,24,49,NA,5.1,25.1,0,3,2,1
"160",0,19,46,1500,18.7,9,1,3,2,1
"161",0,24,31,1000,0.8,0.6,0,3,2,2
"162",0,19,23,2000,0.6,0.1,0,3,1,1
"163",0,18,21,2100,21.5,4.3,0,1,1,2
"164",0,23,30,1000,0.7,1.4,0,3,1,2
"165",0,24,29,2000,3.6,29.9,0,3,1,1
"166",0,21,34,2000,5.3,3.4,2,3,2,1
"167",0,24,20,NA,20.9,4.6,0,1,1,2
"168",0,24,53,2000,9.9,9.9,0,3,2,1
"169",0,23,40,2000,2.4,NA,2,1,3,1
"170",0,24,28,1500,0.2,0.3,0,3,1,1
"171",0,20,27,2000,21.7,27.4,0,3,1,2
"172",0,23,39,800,1.9,2.5,0,3,3,2
"173",0,19,59,2000,7.7,0.6,0,3,2,1
"174",0,21,44,500,2.1,8.5,0,3,2,1
"175",0,24,31,1250,1.5,1.9,2,3,2,1
"176",0,24,34,900,1.8,17.3,0,3,1,1
"177",0,18,29,5000,3.4,1,0,3,1,1
"178",0,22,45,2000,30.3,22.3,0,3,1,1
"179",0,23,36,1200,4.9,5.7,2,3,1,1
"180",0,22,49,1000,9.8,5.7,1,1,3,1
"181",0,24,47,4800,4.8,20.1,0,3,2,1
"182",0,21,40,1000,7.6,NA,1,2,2,NA
"183",0,23,38,NA,3.1,0.6,0,1,2,2
"184",0,24,24,2500,19.8,1.4,0,3,1,2
"185",0,7,42,3300,5,0.7,2,3,2,1
"186",0,23,41,1500,7.9,0.6,1,2,3,2
"187",0,24,41,1000,41.9,12.1,0,1,1,2
"188",1,13,47,5000,0.2,6.2,0,3,2,1
"189",0,18,22,2000,13.4,1.6,0,1,1,2
"190",0,24,19,2500,10,0.2,0,3,1,2
"191",0,11,52,850,9.3,6.5,0,3,3,2
"192",0,20,28,2500,0,4.9,1,1,2,2
"193",0,24,41,NA,6.2,4.1,0,3,2,1
"194",0,15,23,2000,22.8,3.8,0,1,1,2
"195",0,22,46,1000,19.6,16.1,0,1,2,1
"196",0,24,23,2000,0,2.8,0,3,1,2
"197",0,23,44,1000,17,16.1,1,3,2,2
"198",0,23,57,1000,5.3,5,1,1,3,2
"199",0,24,39,500,4.5,1.1,1,3,2,1
"200",0,21,42,2000,7.4,20.7,0,3,2,1
"201",0,18,20,2000,3.6,NA,0,1,1,2
"202",0,24,26,2500,0.5,3,0,3,1,1
"203",0,23,59,2000,13.1,15.4,0,3,2,1
"204",0,24,39,2500,0.9,NA,0,1,1,2
"205",0,13,22,1000,0.1,NA,1,1,1,2
"206",0,18,27,2200,1.7,11.6,1,3,2,1
"207",0,20,48,3000,27.7,27.6,2,3,2,1
"208",0,24,47,1000,6.8,8.2,2,1,2,1
"209",0,6,28,1000,6.1,5.1,0,1,2,1
"210",0,22,49,3000,3.4,6.7,1,3,2,1
"211",0,24,21,2000,13.1,1,0,1,1,2
"212",0,24,49,800,7.6,0.9,1,1,3,1
"213",1,12,38,2000,1,8,0,1,1,2
"214",0,23,39,5000,1.3,5.3,0,3,2,1
"215",0,23,30,2600,2.7,0.3,0,3,1,1
"216",1,19,19,1500,19.2,2.4,0,1,1,2
"217",0,22,42,1000,18.8,NA,2,1,3,2
"218",0,24,23,2000,1.1,2.1,0,3,1,1
"219",0,24,19,2000,19.8,3.3,0,3,1,2
"220",0,22,28,3000,3.4,0.6,0,3,1,1
"221",0,24,54,1000,25,18.3,0,3,2,1
"222",0,22,45,1000,11.9,NA,2,3,2,1
"223",0,22,35,3000,2.4,2.6,1,2,3,1
"224",0,22,56,500,30.2,23,0,3,4,1
"225",0,24,22,3000,0.6,0.6,0,3,1,2
"226",0,17,32,2000,6.2,6.2,0,3,3,1
"227",0,24,38,2000,8.5,18.4,0,3,2,1
"228",0,23,35,1500,2.8,15.9,2,3,2,1
"229",0,24,44,2900,2.7,1.2,1,3,2,2
"230",0,17,55,NA,12.8,22,0,3,2,2
"231",0,24,32,3000,6.2,1.4,1,3,2,1
"232",0,21,35,NA,2.4,4.7,1,3,2,1
"233",0,24,43,1000,10.7,2.8,1,1,2,1
"234",0,24,26,1200,1.7,4.2,0,1,1,1
"235",0,24,30,750,2.3,7.1,2,3,2,2
"236",0,20,33,1500,2.4,12.9,0,3,3,1
"237",0,21,31,1400,3.8,NA,0,3,2,1
"238",0,22,32,2000,19,13.6,2,3,2,1
"239",0,24,37,1000,0.7,4.6,2,3,2,1
"240",0,24,38,2000,3.4,2.7,2,3,2,1
"241",0,23,30,2250,2.5,7.2,0,3,1,1
"242",1,3,44,2200,12.4,0.5,2,3,2,1
"243",0,24,24,NA,1.1,NA,0,1,1,1
"244",0,24,21,1500,20.5,4.7,0,3,1,2
"245",1,6,34,3200,1.2,3,0,3,2,1
"246",0,24,27,1300,1.7,4.7,1,3,2,1
"247",0,24,24,2000,0.7,1.3,0,3,1,2
"248",0,23,39,750,3.2,14.7,3,3,2,1
"249",0,24,21,2200,15.8,0.8,0,3,1,2
"250",0,24,21,500,0.1,4.7,0,3,1,2
"251",1,12,33,2000,2.4,3.5,2,1,2,1
"252",0,24,23,2500,3.3,3.3,0,3,1,2
"253",0,23,36,1800,3.1,7.9,4,3,2,1
"254",0,24,30,3400,5,0.3,0,1,1,1
"255",0,24,38,3000,5.4,10.9,2,3,2,1
"256",0,24,33,2000,8.1,0.5,3,1,2,1
"257",0,24,55,2000,7,18.4,1,3,2,1
"258",0,21,31,900,2.3,10.7,0,3,2,1
"259",0,18,30,2000,7.9,2.4,3,3,2,1
"260",0,24,33,2000,3.5,6.8,0,3,2,1
"261",0,22,54,3000,22,20.7,0,3,2,1
"262",0,24,18,2000,13.5,0.7,0,1,1,2
"263",0,24,46,4500,1.6,13.2,0,3,2,1
"264",0,22,49,2000,21.2,11.9,0,1,2,1
"265",0,24,40,3200,4.5,14.5,0,3,1,1
"266",0,22,51,5500,2.5,28.5,0,3,2,1
"267",0,22,49,3150,14.4,14.4,0,1,2,1
"268",0,24,36,5000,3.5,NA,4,1,2,1
"269",0,21,34,1500,34.9,6.5,1,1,3,2
"270",1,9,67,900,20,NA,0,1,3,2
"271",0,23,18,1500,18.4,2.6,0,1,1,2
"272",0,24,28,3000,9.9,3.6,1,1,1,2
"273",0,24,26,1700,1,2.1,2,1,2,1
"274",0,23,28,2300,1.8,8.7,2,1,2,1
"275",0,24,54,NA,18,7,0,3,2,1
"276",0,24,19,1400,8.7,0.1,0,3,1,2
"277",0,16,25,2500,4,9.2,0,1,2,2
"278",0,15,30,3000,3.9,NA,0,3,1,2
"279",0,24,25,4750,2.9,4.2,0,3,1,1
"280",0,24,32,3000,1.2,15.8,0,1,1,1
"281",0,23,33,3000,10,15.9,2,3,2,2
"282",0,23,51,4600,19.1,7.1,2,1,2,1
"283",0,24,25,1000,3.3,3.5,0,1,1,2
"284",0,22,36,1500,11.3,15.6,2,3,2,1
"285",0,23,30,2500,3.9,10.4,2,3,1,2
"286",0,18,41,900,9.2,3.6,1,3,2,1
"287",0,24,23,950,0,0,1,1,1,2
"288",0,24,55,2000,4.5,8.9,0,1,2,2
"289",0,24,51,2200,3.5,31.5,2,3,2,1
"290",0,22,54,2000,22.6,22.7,0,1,2,1
"291",0,22,28,1800,1.3,7,0,3,1,1
"292",0,21,71,1000,27.3,6.2,0,1,4,1
"293",0,16,42,1800,5.9,5.1,2,3,2,1
"294",0,24,24,1500,2.6,0.3,1,1,1,1
"295",0,20,44,2200,13.6,13,2,3,2,1
"296",0,24,32,1000,8.8,1.9,1,2,1,2
"297",0,19,49,2000,6.2,NA,1,3,3,1
"298",1,9,24,1200,5.9,3.2,0,3,1,2
"299",0,22,36,2500,4.4,2.6,0,3,1,1
"300",0,18,27,700,26.5,0.9,0,1,1,2
"301",0,24,26,800,5.6,8.9,2,3,2,1
"302",0,24,59,5000,0,28.4,0,3,2,1
"303",0,24,28,1100,1.1,4.2,0,1,2,2
"304",0,22,34,1500,7,4.3,0,1,2,2
"305",0,24,39,2000,11.5,5.3,2,3,2,1
"306",0,5,24,1000,0.4,1,3,3,1,1
"307",0,24,35,2000,7.2,17.1,1,3,2,1
"308",0,18,29,1000,1.2,7.4,0,1,3,1
"309",0,24,44,3000,0.5,0.2,0,3,3,1
"310",0,24,47,2750,7.6,17.7,2,3,2,2
"311",0,24,27,2100,3.3,3.7,0,3,1,1
"312",0,24,24,NA,0.2,0.2,0,2,1,1
"313",0,22,48,2000,3.7,0.8,0,1,3,1
"314",0,24,35,NA,4.1,15.4,2,3,2,1
"315",0,21,32,3000,1,11.3,2,3,2,1
"316",0,23,31,3000,0.6,1.4,0,3,1,1
"317",0,24,18,2000,4.3,1.5,0,3,1,2
"318",0,13,24,5100,24.6,0.5,0,1,1,2
"319",0,24,23,1000,3.2,0.6,0,1,1,2
"320",0,22,35,2500,13.1,11.9,2,3,2,1
